ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000037,CUST087558,Unauthorized Transaction,2024-12-02,7
TICKET000038,CUST055992,ATM Withdrawal Failed,2025-02-10,6
TICKET000039,CUST018252,KYC Verification Delay,2024-07-19,0
TICKET000040,CUST077149,KYC Verification Delay,2025-02-27,8
TICKET000041,CUST080219,Delayed Refund,2024-10-24,5
TICKET000042,CUST044600,KYC Verification Delay,2024-05-15,4
TICKET000043,CUST071321,Poor Customer Service,2024-12-13,5
TICKET000044,CUST094196,KYC Verification Delay,2024-09-22,4
TICKET000045,CUST015123,Unauthorized Transaction,2024-12-30,3
TICKET000046,CUST093524,Incorrect Charges,2024-08-18,1
TICKET000047,CUST072174,Delayed Refund,2024-05-29,2
TICKET000048,CUST098861,Poor Customer Service,2025-04-23,7
TICKET000049,CUST058528,Mobile App Issues,2024-06-29,8
TICKET000050,CUST042946,Card Not Working,2024-10-16,3
TICKET000051,CUST047604,Incorrect Charges,2024-05-06,9
TICKET000052,CUST019517,Loan Application Rejected,2024-04-29,5
TICKET000053,CUST051605,ATM Withdrawal Failed,2025-03-17,3
TICKET000054,CUST054661,Mobile App Issues,2024-07-15,10
TICKET000055,CUST006607,Mobile App Issues,2025-04-12,7
TICKET000056,CUST089137,Card Not Working,2025-03-30,8
TICKET000057,CUST072111,Loan Application Rejected,2025-03-01,4
TICKET000058,CUST085439,Poor Customer Service,2025-01-18,3
TICKET000059,CUST080192,Incorrect Charges,2024-07-13,8
TICKET000060,CUST040997,Delayed Refund,2024-07-19,0
TICKET000061,CUST096090,Account Locked,2024-09-10,5
TICKET000062,CUST087255,Loan Application Rejected,2024-08-14,4
TICKET000063,CUST056393,Account Locked,2024-12-21,7
TICKET000064,CUST047095,Incorrect Charges,2025-03-18,3
TICKET000065,CUST002445,KYC Verification Delay,2025-04-07,6
TICKET000066,CUST068598,Incorrect Charges,2024-05-15,2
TICKET000067,CUST061663,Incorrect Charges,2025-01-27,1
TICKET000068,CUST083720,Delayed Refund,2025-02-21,1
TICKET000069,CUST084763,Incorrect Charges,2024-09-01,4
TICKET000070,CUST083101,Loan Application Rejected,2025-01-21,8
TICKET000071,CUST090192,Loan Application Rejected,2024-05-15,0
TICKET000072,CUST071240,Unauthorized Transaction,2024-09-21,8
TICKET000073,CUST076198,Poor Customer Service,2024-06-16,10
TICKET000074,CUST066321,Incorrect Charges,2025-02-02,8
TICKET000075,CUST030495,Account Locked,2024-11-28,3
TICKET000076,CUST067028,Account Locked,2025-01-23,0
TICKET000077,CUST052049,Poor Customer Service,2024-05-08,7
TICKET000078,CUST085573,Mobile App Issues,2024-09-04,9
TICKET000079,CUST084196,Delayed Refund,2024-08-09,3
TICKET000080,CUST033294,Card Not Working,2025-01-10,3
TICKET000081,CUST020699,Poor Customer Service,2024-05-28,0
TICKET000082,CUST048731,Delayed Refund,2025-03-04,7
TICKET000083,CUST082298,Loan Application Rejected,2024-04-24,3
TICKET000084,CUST067815,Mobile App Issues,2025-01-22,2
TICKET000085,CUST041530,Mobile App Issues,2024-05-28,10
TICKET000086,CUST039311,Incorrect Charges,2024-05-14,5
TICKET000087,CUST059033,Mobile App Issues,2024-10-05,4
TICKET000088,CUST044336,Delayed Refund,2024-09-21,2
TICKET000089,CUST087985,KYC Verification Delay,2024-06-30,5
TICKET000090,CUST071738,ATM Withdrawal Failed,2025-03-25,10
TICKET000091,CUST053322,KYC Verification Delay,2024-06-07,6
TICKET000092,CUST079218,Account Locked,2024-09-14,10
TICKET000093,CUST018192,Account Locked,2024-07-17,6
TICKET000094,CUST012290,Mobile App Issues,2024-06-01,1
TICKET000095,CUST042777,Card Not Working,2024-11-25,4
TICKET000096,CUST090349,Card Not Working,2024-11-17,10
TICKET000097,CUST090107,Mobile App Issues,2024-08-21,3
TICKET000098,CUST012516,Mobile App Issues,2024-12-22,0
TICKET000099,CUST034370,Delayed Refund,2024-08-04,3
TICKET000100,CUST051293,Card Not Working,2024-07-22,9
TICKET000101,CUST093103,Mobile App Issues,2024-04-24,7
TICKET000102,CUST085869,Loan Application Rejected,2024-04-24,7
TICKET000103,CUST060149,Card Not Working,2025-04-06,0
TICKET000104,CUST042621,Card Not Working,2024-12-16,0
TICKET000105,CUST042394,Mobile App Issues,2024-06-23,2
TICKET000106,CUST007674,Poor Customer Service,2025-01-26,6
TICKET000107,CUST053843,Card Not Working,2024-06-02,2
TICKET000108,CUST006550,Unauthorized Transaction,2025-04-15,9
TICKET000109,CUST057416,Incorrect Charges,2025-03-02,4
TICKET000110,CUST077154,Account Locked,2025-03-11,0
TICKET000111,CUST038153,Loan Application Rejected,2024-05-01,5
TICKET000112,CUST025447,Poor Customer Service,2025-03-06,2
TICKET000113,CUST088813,Unauthorized Transaction,2025-04-07,0
TICKET000114,CUST040670,ATM Withdrawal Failed,2025-02-09,10
TICKET000115,CUST078395,Unauthorized Transaction,2024-11-26,7
TICKET000116,CUST099510,Card Not Working,2024-11-22,10
TICKET000117,CUST039727,Incorrect Charges,2024-08-04,10
TICKET000118,CUST045780,Poor Customer Service,2025-03-01,0
TICKET000119,CUST046175,ATM Withdrawal Failed,2024-12-18,5
TICKET000120,CUST044340,Account Locked,2024-05-12,0
TICKET000121,CUST082269,Account Locked,2025-03-30,4
TICKET000122,CUST025639,Account Locked,2024-11-03,2
TICKET000123,CUST038451,Card Not Working,2024-08-28,4
TICKET000124,CUST026241,Delayed Refund,2024-06-21,2
TICKET000125,CUST000316,Account Locked,2024-06-24,10
TICKET000126,CUST008998,Unauthorized Transaction,2024-07-20,4
TICKET000127,CUST080862,Card Not Working,2024-10-24,7
TICKET000128,CUST039997,ATM Withdrawal Failed,2024-07-02,10
TICKET000129,CUST089403,Incorrect Charges,2024-05-27,4
TICKET000130,CUST021938,Poor Customer Service,2024-10-13,7
TICKET000131,CUST070320,Account Locked,2025-03-24,5
TICKET000132,CUST009377,ATM Withdrawal Failed,2025-04-15,3
TICKET000133,CUST088802,Delayed Refund,2025-02-19,8
TICKET000134,CUST015222,Unauthorized Transaction,2024-06-26,4
TICKET000135,CUST046651,ATM Withdrawal Failed,2024-10-27,4
TICKET000136,CUST026733,Unauthorized Transaction,2024-06-24,9
TICKET000137,CUST032145,Poor Customer Service,2024-05-21,9
TICKET000138,CUST017619,Unauthorized Transaction,2024-09-06,10
TICKET000139,CUST031456,Incorrect Charges,2024-10-13,9
TICKET000140,CUST016184,Mobile App Issues,2025-01-07,2
TICKET000141,CUST039017,Loan Application Rejected,2025-01-06,6
TICKET000142,CUST017602,Delayed Refund,2025-02-23,7
TICKET000143,CUST064682,ATM Withdrawal Failed,2024-09-10,2
TICKET000144,CUST011293,ATM Withdrawal Failed,2025-02-08,10
TICKET000145,CUST074298,Card Not Working,2024-08-19,5
TICKET000146,CUST077990,Poor Customer Service,2024-06-18,8
TICKET000147,CUST099927,Card Not Working,2025-04-13,10
TICKET000148,CUST064519,Account Locked,2024-09-30,7
TICKET000149,CUST060800,KYC Verification Delay,2025-02-27,6
TICKET000150,CUST052492,Incorrect Charges,2024-07-12,6
TICKET000151,CUST078177,Loan Application Rejected,2024-07-29,4
TICKET000152,CUST075169,Poor Customer Service,2025-02-22,10
TICKET000153,CUST005246,Loan Application Rejected,2024-08-09,6
TICKET000154,CUST063386,Loan Application Rejected,2025-04-07,2
TICKET000155,CUST001880,ATM Withdrawal Failed,2024-10-06,8
TICKET000156,CUST048105,Unauthorized Transaction,2024-09-17,6
TICKET000157,CUST034328,Poor Customer Service,2025-01-16,7
TICKET000158,CUST034570,Loan Application Rejected,2024-11-04,2
TICKET000159,CUST027636,Incorrect Charges,2025-04-23,10
TICKET000160,CUST072776,Mobile App Issues,2024-12-04,6
TICKET000161,CUST091468,Poor Customer Service,2025-01-18,6
TICKET000162,CUST076124,KYC Verification Delay,2024-10-23,9
TICKET000163,CUST024954,Card Not Working,2025-03-20,1
TICKET000164,CUST009701,ATM Withdrawal Failed,2024-09-17,2
TICKET000165,CUST081035,ATM Withdrawal Failed,2024-04-24,1
TICKET000166,CUST029486,Incorrect Charges,2024-09-27,0
TICKET000167,CUST078067,Incorrect Charges,2024-05-28,5
TICKET000168,CUST079515,Loan Application Rejected,2024-11-25,3
TICKET000169,CUST073042,Unauthorized Transaction,2024-12-19,8
TICKET000170,CUST016588,Incorrect Charges,2024-11-26,7
TICKET000171,CUST015329,Delayed Refund,2025-03-25,3
TICKET000172,CUST012974,Poor Customer Service,2024-08-29,5
TICKET000173,CUST012550,Delayed Refund,2024-10-24,7
TICKET000174,CUST060675,Mobile App Issues,2024-06-15,9
TICKET000175,CUST067412,Card Not Working,2024-10-13,1
TICKET000176,CUST063547,ATM Withdrawal Failed,2024-12-07,7
TICKET000177,CUST068971,ATM Withdrawal Failed,2024-08-12,5
TICKET000178,CUST004413,Incorrect Charges,2024-12-25,1
TICKET000179,CUST026002,Account Locked,2025-02-05,1
TICKET000180,CUST055954,Delayed Refund,2024-09-02,5
TICKET000181,CUST002383,ATM Withdrawal Failed,2025-03-24,4
TICKET000182,CUST034516,Account Locked,2025-03-17,7
TICKET000183,CUST010990,Delayed Refund,2024-07-15,0
TICKET000184,CUST099846,Delayed Refund,2024-07-31,0
TICKET000185,CUST017106,Delayed Refund,2024-11-18,2
TICKET000186,CUST059036,Card Not Working,2025-04-02,10
TICKET000187,CUST042675,Account Locked,2024-09-14,6
TICKET000188,CUST017718,ATM Withdrawal Failed,2024-07-22,1
TICKET000189,CUST067903,Account Locked,2024-11-15,5
TICKET000190,CUST053846,Unauthorized Transaction,2024-08-14,4
TICKET000191,CUST086517,Delayed Refund,2024-05-04,8
TICKET000192,CUST043351,Unauthorized Transaction,2024-05-16,9
TICKET000193,CUST077655,Account Locked,2024-06-07,9
TICKET000194,CUST036063,ATM Withdrawal Failed,2024-04-24,3
TICKET000195,CUST082886,Card Not Working,2025-03-19,8
TICKET000196,CUST066934,Card Not Working,2025-04-06,0
TICKET000197,CUST039898,Card Not Working,2024-08-05,10
TICKET000198,CUST071450,Loan Application Rejected,2024-10-04,4
TICKET000199,CUST064933,Account Locked,2024-07-29,6
TICKET000200,CUST046466,Account Locked,2024-10-22,7
TICKET000201,CUST052261,Incorrect Charges,2024-10-06,8
TICKET000202,CUST001994,ATM Withdrawal Failed,2025-02-07,1
TICKET000203,CUST072976,Unauthorized Transaction,2024-07-24,5
TICKET000204,CUST025312,Poor Customer Service,2025-04-02,6
TICKET000205,CUST024323,Incorrect Charges,2024-05-26,5
TICKET000206,CUST020261,Mobile App Issues,2024-07-13,0
TICKET000207,CUST045641,Delayed Refund,2024-06-01,2
TICKET000208,CUST060334,ATM Withdrawal Failed,2024-09-11,9
TICKET000209,CUST057876,Loan Application Rejected,2025-01-09,4
TICKET000210,CUST099668,ATM Withdrawal Failed,2024-10-29,7
TICKET000211,CUST090856,Card Not Working,2025-02-08,10
TICKET000212,CUST092539,Loan Application Rejected,2024-08-27,1
TICKET000213,CUST053593,Loan Application Rejected,2024-08-17,7
TICKET000214,CUST019527,KYC Verification Delay,2024-05-13,8
TICKET000215,CUST091360,Poor Customer Service,2024-09-30,3
TICKET000216,CUST022072,Unauthorized Transaction,2024-11-25,6
TICKET000217,CUST024524,Loan Application Rejected,2025-01-14,2
TICKET000218,CUST001143,Unauthorized Transaction,2024-08-15,9
TICKET000219,CUST097719,Delayed Refund,2025-04-02,4
TICKET000220,CUST096912,Delayed Refund,2025-01-23,0
TICKET000221,CUST006445,KYC Verification Delay,2024-12-16,3
TICKET000222,CUST004405,Poor Customer Service,2024-08-16,1
TICKET000223,CUST085209,Loan Application Rejected,2025-03-31,6
TICKET000224,CUST081195,Poor Customer Service,2024-11-06,1
TICKET000225,CUST066145,KYC Verification Delay,2024-12-30,8
TICKET000226,CUST043968,Unauthorized Transaction,2025-03-12,5
TICKET000227,CUST041312,Poor Customer Service,2025-01-05,7
TICKET000228,CUST060683,Account Locked,2025-03-27,7
TICKET000229,CUST046330,Account Locked,2025-03-19,0
TICKET000230,CUST041423,ATM Withdrawal Failed,2025-01-18,8
TICKET000231,CUST042780,Account Locked,2024-06-29,4
TICKET000232,CUST089966,Mobile App Issues,2024-09-14,5
TICKET000233,CUST097330,Loan Application Rejected,2024-10-21,4
TICKET000234,CUST041845,Unauthorized Transaction,2024-10-18,3
TICKET000235,CUST081711,Delayed Refund,2024-08-26,5
TICKET000236,CUST006897,Incorrect Charges,2024-05-11,2
TICKET000237,CUST031417,Poor Customer Service,2024-06-11,5
TICKET000238,CUST061737,Unauthorized Transaction,2024-07-19,2
TICKET000239,CUST061190,Delayed Refund,2024-12-24,4
TICKET000240,CUST048975,Account Locked,2025-01-24,7
TICKET000241,CUST020459,Unauthorized Transaction,2025-01-08,3
TICKET000242,CUST041665,Incorrect Charges,2025-01-23,10
TICKET000243,CUST027238,Account Locked,2025-01-02,5
TICKET000244,CUST020548,KYC Verification Delay,2024-11-11,5
TICKET000245,CUST019127,Loan Application Rejected,2024-12-17,1
TICKET000246,CUST014144,Loan Application Rejected,2025-02-28,3
TICKET000247,CUST076035,Delayed Refund,2024-11-24,6
TICKET000248,CUST045352,ATM Withdrawal Failed,2025-02-11,10
TICKET000249,CUST053370,Unauthorized Transaction,2024-06-10,3
TICKET000250,CUST095302,Mobile App Issues,2025-02-18,10
TICKET000251,CUST018167,Mobile App Issues,2024-08-28,9
TICKET000252,CUST089770,ATM Withdrawal Failed,2024-07-25,2
TICKET000253,CUST045623,Poor Customer Service,2024-11-08,7
TICKET000254,CUST069557,Unauthorized Transaction,2025-03-13,3
TICKET000255,CUST030980,Account Locked,2024-09-27,6
TICKET000256,CUST015181,Loan Application Rejected,2024-10-26,8
TICKET000257,CUST080885,Incorrect Charges,2025-03-17,4
TICKET000258,CUST000688,Unauthorized Transaction,2024-07-01,9
TICKET000259,CUST045955,Unauthorized Transaction,2024-06-17,9
TICKET000260,CUST081423,Unauthorized Transaction,2024-06-09,8
TICKET000261,CUST081682,KYC Verification Delay,2024-08-02,1
TICKET000262,CUST000087,ATM Withdrawal Failed,2025-03-17,0
TICKET000263,CUST068213,Card Not Working,2025-04-18,7
TICKET000264,CUST075041,KYC Verification Delay,2024-10-12,0
TICKET000265,CUST041044,Incorrect Charges,2025-02-03,9
TICKET000266,CUST041859,Delayed Refund,2024-08-26,10
TICKET000267,CUST082793,Mobile App Issues,2024-09-11,3
TICKET000268,CUST012323,Delayed Refund,2025-03-07,0
TICKET000269,CUST086323,Loan Application Rejected,2024-06-06,1
TICKET000270,CUST077666,Incorrect Charges,2025-03-28,10
TICKET000271,CUST017566,Poor Customer Service,2025-04-21,10
TICKET000272,CUST064637,Delayed Refund,2025-02-02,3
TICKET000273,CUST061504,Account Locked,2024-12-15,0
TICKET000274,CUST069814,KYC Verification Delay,2024-09-13,10
TICKET000275,CUST008393,Delayed Refund,2025-02-24,5
TICKET000276,CUST070334,Mobile App Issues,2024-10-17,5
TICKET000277,CUST072119,Mobile App Issues,2024-11-02,0
TICKET000278,CUST085900,Card Not Working,2024-05-21,3
TICKET000279,CUST073265,Card Not Working,2025-02-04,9
TICKET000280,CUST083144,Poor Customer Service,2024-08-27,5
TICKET000281,CUST034104,Incorrect Charges,2024-05-16,1
TICKET000282,CUST051514,Mobile App Issues,2025-04-22,2
TICKET000283,CUST052157,KYC Verification Delay,2024-11-29,9
TICKET000284,CUST093178,ATM Withdrawal Failed,2025-04-03,6
TICKET000285,CUST049628,Account Locked,2024-06-27,9
TICKET000286,CUST038362,Mobile App Issues,2025-01-06,7
TICKET000287,CUST097637,Card Not Working,2025-01-18,3
TICKET000288,CUST065403,Poor Customer Service,2025-03-04,6
TICKET000289,CUST087646,Unauthorized Transaction,2025-03-09,2
TICKET000290,CUST093435,Poor Customer Service,2024-09-23,3
TICKET000291,CUST036400,Unauthorized Transaction,2025-02-05,9
TICKET000292,CUST085468,Loan Application Rejected,2025-02-02,10
TICKET000293,CUST032651,ATM Withdrawal Failed,2024-05-01,5
TICKET000294,CUST072255,Mobile App Issues,2025-03-27,9
TICKET000295,CUST047869,Delayed Refund,2024-06-03,0
TICKET000296,CUST076335,Card Not Working,2024-11-26,9
TICKET000297,CUST068819,Incorrect Charges,2025-03-14,8
TICKET000298,CUST098110,Card Not Working,2025-02-04,2
TICKET000299,CUST049381,KYC Verification Delay,2024-07-12,9
TICKET000300,CUST015007,Mobile App Issues,2025-01-18,4
TICKET000301,CUST030680,Poor Customer Service,2025-03-06,0
TICKET000302,CUST017159,Mobile App Issues,2024-07-01,2
TICKET000303,CUST075387,Account Locked,2024-12-22,10
TICKET000304,CUST041463,Poor Customer Service,2024-09-19,4
TICKET000305,CUST085155,KYC Verification Delay,2024-10-05,0
TICKET000306,CUST012547,ATM Withdrawal Failed,2025-04-02,6
TICKET000307,CUST049881,Unauthorized Transaction,2025-04-15,3
TICKET000308,CUST072154,Unauthorized Transaction,2024-10-14,0
TICKET000309,CUST018938,KYC Verification Delay,2024-06-16,8
TICKET000310,CUST003804,Card Not Working,2025-03-10,10
TICKET000311,CUST050838,Unauthorized Transaction,2024-06-15,1
TICKET000312,CUST074559,Poor Customer Service,2024-06-19,6
TICKET000313,CUST008511,Poor Customer Service,2025-02-03,3
TICKET000314,CUST067436,Delayed Refund,2025-04-08,9
TICKET000315,CUST010924,Card Not Working,2024-06-02,0
TICKET000316,CUST073027,Unauthorized Transaction,2024-08-01,3
TICKET000317,CUST054548,Delayed Refund,2024-05-27,6
TICKET000318,CUST041690,KYC Verification Delay,2024-08-03,9
TICKET000319,CUST049426,Incorrect Charges,2025-02-19,3
TICKET000320,CUST014671,Unauthorized Transaction,2024-12-14,6
TICKET000321,CUST012316,Card Not Working,2024-07-25,8
TICKET000322,CUST083118,Incorrect Charges,2024-12-21,0
TICKET000323,CUST021172,Incorrect Charges,2024-12-20,0
TICKET000324,CUST000607,ATM Withdrawal Failed,2025-04-09,5
TICKET000325,CUST055352,Card Not Working,2025-02-21,5
TICKET000326,CUST064476,Loan Application Rejected,2024-05-28,7
TICKET000327,CUST011083,Account Locked,2024-09-09,3
TICKET000328,CUST036537,Account Locked,2025-02-03,10
TICKET000329,CUST091551,Loan Application Rejected,2024-06-17,5
TICKET000330,CUST058947,Loan Application Rejected,2025-01-30,7
TICKET000331,CUST064849,Delayed Refund,2024-05-18,7
TICKET000332,CUST091123,ATM Withdrawal Failed,2024-06-09,0
TICKET000333,CUST062869,Account Locked,2024-11-06,7
TICKET000334,CUST029791,Poor Customer Service,2024-11-07,3
TICKET000335,CUST033982,Unauthorized Transaction,2025-04-22,3
TICKET000336,CUST019045,ATM Withdrawal Failed,2025-02-22,8
TICKET000337,CUST032756,Incorrect Charges,2024-07-14,4
TICKET000338,CUST085580,Delayed Refund,2024-12-26,8
TICKET000339,CUST087689,Unauthorized Transaction,2025-04-02,7
TICKET000340,CUST011721,Unauthorized Transaction,2024-11-09,1
TICKET000341,CUST050866,Mobile App Issues,2024-11-29,3
TICKET000342,CUST003129,Incorrect Charges,2025-02-02,10
TICKET000343,CUST010085,KYC Verification Delay,2024-11-28,6
TICKET000344,CUST068364,ATM Withdrawal Failed,2024-08-21,6
TICKET000345,CUST025757,Card Not Working,2024-07-02,6
TICKET000346,CUST094186,Incorrect Charges,2024-04-23,6
TICKET000347,CUST013727,Poor Customer Service,2025-04-09,6
TICKET000348,CUST034355,Account Locked,2024-06-19,3
TICKET000349,CUST086878,Account Locked,2024-05-31,4
TICKET000350,CUST025010,Incorrect Charges,2024-08-02,9
TICKET000351,CUST029659,KYC Verification Delay,2024-07-28,5
TICKET000352,CUST008785,Unauthorized Transaction,2025-02-18,7
TICKET000353,CUST016237,Mobile App Issues,2024-10-23,4
TICKET000354,CUST069524,Account Locked,2025-04-20,3
TICKET000355,CUST069399,KYC Verification Delay,2024-12-09,4
TICKET000356,CUST052104,Loan Application Rejected,2025-02-10,4
TICKET000357,CUST061796,Delayed Refund,2024-08-08,4
TICKET000358,CUST035301,Delayed Refund,2024-06-09,6
TICKET000359,CUST082758,Delayed Refund,2024-09-11,3
TICKET000360,CUST042263,KYC Verification Delay,2025-02-17,0
TICKET000361,CUST077861,Loan Application Rejected,2024-08-05,7
TICKET000362,CUST046660,Mobile App Issues,2024-10-31,1
TICKET000363,CUST011546,Incorrect Charges,2024-06-13,1
TICKET000364,CUST017801,Loan Application Rejected,2025-01-10,4
TICKET000365,CUST039369,Incorrect Charges,2024-11-04,10
TICKET000366,CUST014792,Delayed Refund,2025-03-05,6
TICKET000367,CUST019685,Mobile App Issues,2025-03-07,4
TICKET000368,CUST096901,Delayed Refund,2024-07-21,7
TICKET000369,CUST041544,Account Locked,2024-11-06,10
TICKET000370,CUST053385,Card Not Working,2024-12-28,4
TICKET000371,CUST082879,Card Not Working,2025-03-01,6
TICKET000372,CUST037101,Poor Customer Service,2024-12-24,10
TICKET000373,CUST022424,KYC Verification Delay,2024-05-20,3
TICKET000374,CUST058490,Poor Customer Service,2025-01-11,7
TICKET000375,CUST099696,Poor Customer Service,2024-11-08,7
TICKET000376,CUST034853,ATM Withdrawal Failed,2024-09-12,5
TICKET000377,CUST044076,ATM Withdrawal Failed,2025-02-26,5
TICKET000378,CUST096070,Delayed Refund,2024-12-25,5
TICKET000379,CUST028160,Poor Customer Service,2024-07-10,10
TICKET000380,CUST077986,Card Not Working,2024-05-02,5
TICKET000381,CUST004036,Unauthorized Transaction,2024-05-30,8
TICKET000382,CUST048545,Incorrect Charges,2024-05-12,3
TICKET000383,CUST027002,Delayed Refund,2025-04-17,6
TICKET000384,CUST060530,Loan Application Rejected,2024-04-29,8
TICKET000385,CUST067544,Unauthorized Transaction,2025-03-03,2
TICKET000386,CUST022364,Incorrect Charges,2024-09-09,4
TICKET000387,CUST001356,KYC Verification Delay,2024-11-15,5
TICKET000388,CUST094524,Poor Customer Service,2024-09-25,1
TICKET000389,CUST082659,Loan Application Rejected,2024-09-15,5
TICKET000390,CUST011191,Incorrect Charges,2025-01-20,4
TICKET000391,CUST024734,Poor Customer Service,2024-11-06,9
TICKET000392,CUST066912,Unauthorized Transaction,2024-06-08,9
TICKET000393,CUST062879,Incorrect Charges,2025-03-17,4
TICKET000394,CUST037575,Incorrect Charges,2025-03-15,5
TICKET000395,CUST031685,Account Locked,2025-03-24,6
TICKET000396,CUST091718,Delayed Refund,2024-06-23,4
TICKET000397,CUST064039,Account Locked,2025-03-16,0
TICKET000398,CUST061748,Unauthorized Transaction,2024-10-11,2
TICKET000399,CUST054184,Card Not Working,2024-07-29,6
TICKET000400,CUST063883,Account Locked,2024-04-27,5
TICKET000401,CUST027027,Delayed Refund,2024-09-10,8
TICKET000402,CUST087141,Account Locked,2024-07-12,0
TICKET000403,CUST075576,KYC Verification Delay,2025-03-15,8
TICKET000404,CUST098420,ATM Withdrawal Failed,2024-11-29,8
TICKET000405,CUST033846,Loan Application Rejected,2025-01-20,9
TICKET000406,CUST097135,Poor Customer Service,2025-01-18,8
TICKET000407,CUST032977,Incorrect Charges,2024-10-23,1
TICKET000408,CUST020211,Loan Application Rejected,2024-10-01,2
TICKET000409,CUST006251,KYC Verification Delay,2025-03-16,2
TICKET000410,CUST074803,Mobile App Issues,2024-05-23,8
TICKET000411,CUST074981,Unauthorized Transaction,2024-11-22,9
TICKET000412,CUST040896,Poor Customer Service,2025-03-02,10
TICKET000413,CUST099702,Account Locked,2024-09-29,2
TICKET000414,CUST092574,Mobile App Issues,2025-02-15,10
TICKET000415,CUST035253,Unauthorized Transaction,2024-09-22,0
TICKET000416,CUST070826,Account Locked,2024-06-16,0
TICKET000417,CUST046895,Incorrect Charges,2024-10-27,5
TICKET000418,CUST073212,ATM Withdrawal Failed,2024-11-26,4
TICKET000419,CUST002503,KYC Verification Delay,2024-12-18,7
TICKET000420,CUST084528,ATM Withdrawal Failed,2025-02-04,8
TICKET000421,CUST040948,Card Not Working,2024-12-28,1
TICKET000422,CUST050394,Delayed Refund,2024-07-09,3
TICKET000423,CUST027083,Unauthorized Transaction,2024-07-04,2
TICKET000424,CUST091582,Mobile App Issues,2025-03-11,4
TICKET000425,CUST017965,Delayed Refund,2024-09-02,10
TICKET000426,CUST037372,KYC Verification Delay,2024-07-16,7
TICKET000427,CUST091029,Loan Application Rejected,2025-02-24,8
TICKET000428,CUST072784,ATM Withdrawal Failed,2025-03-26,3
TICKET000429,CUST099716,Poor Customer Service,2024-07-06,6
TICKET000430,CUST049608,Poor Customer Service,2024-12-18,9
TICKET000431,CUST056073,KYC Verification Delay,2024-10-24,9
TICKET000432,CUST063152,Card Not Working,2024-09-29,10
TICKET000433,CUST006581,Card Not Working,2024-11-13,9
TICKET000434,CUST077098,ATM Withdrawal Failed,2024-11-05,4
TICKET000435,CUST041633,ATM Withdrawal Failed,2025-04-18,1
TICKET000436,CUST093265,KYC Verification Delay,2024-10-10,8
TICKET000437,CUST056869,Delayed Refund,2025-04-12,8
TICKET000438,CUST020931,Unauthorized Transaction,2024-07-30,10
TICKET000439,CUST027084,KYC Verification Delay,2024-05-16,2
TICKET000440,CUST051886,Mobile App Issues,2025-01-10,7
TICKET000441,CUST005437,Card Not Working,2024-11-06,5
TICKET000442,CUST070498,Incorrect Charges,2024-12-28,1
TICKET000443,CUST025436,Unauthorized Transaction,2024-12-25,10
TICKET000444,CUST091644,Delayed Refund,2024-09-04,7
TICKET000445,CUST075499,Mobile App Issues,2025-03-30,5
TICKET000446,CUST058506,Account Locked,2024-10-27,10
TICKET000447,CUST043651,Account Locked,2024-12-02,0
TICKET000448,CUST031397,Unauthorized Transaction,2024-06-18,9
