customer_id,loan_type,amount_utilized,utilization_date,loan_reason,age,total_cost
CUST056069,Auto Loan,816000,2024-09-17,Hs gzr addm vzx snn knmf rhmbd vd bntkc rodmc z kzyx Rtmczx itrs ahmfd-vzsbghmf nkc rgnvr,239,980200.0
CUST076019,Top-Up Loan,320000,2025-02-16,Yunjbn nwbdan cqjc cqjc cqn rwexrln mncjrub jan lxaanlcuh anounlcnm rw hxda anlxamb,87,385000.0
CUST087490,Credit Card Loan,340000,2025-02-15,Lic M aew xlmromrk ai gsyph ks jsv e lmoi mj xli aiexliv wxecw kssh,88,409000.0
CUST061559,Travel Loan,366000,2024-07-30,V svanyyl tbg gvzr gb jr pbhyq teno qvaare fbzrgvzr guvf jrrx naq pngpu hc cebcreyl,288,440200.0
CUST048939,Home Loan,42000,2025-03-23,Drsxusxq go cryevn go myevn rycd k cwkvv qod-dyqodrob kd wi zvkmo drsc goouoxn,52,51400.0
CUST018938,Top-Up Loan,367000,2025-01-10,Ftuzwuzs iq etagxp iq oagxp tmzs agf nk ftq nqmot nqradq uf sqfe oaxpqd msmuz,124,441400.0
CUST008768,Business Loan,304000,2024-08-17,Trwmuh unc vn twxf cqjc fn vjrwcjrw xynw lxvvdwrljcrxw mdarwp cqn rvyunvnwcjcrxw ynarxm,270,365800.0
CUST034094,Travel Loan,396000,2025-02-13,Sgzmj xnt enq xntq zssdmshnm sgzs vd lzhmszhm nodm bnlltmhbzshnm ctqhmf sgd hlokdldmszshnm odqhnc,90,476200.0
CUST042170,Travel Loan,155000,2024-08-04,Xqf yq wzai ur iq oagxp sa rad m tuwq ur ftq iqmftqd efmke saap,283,187000.0
CUST071587,Medical Loan,268000,2024-09-26,Drsxusxq go cryevn go myevn rycd k cwkvv qod-dyqodrob kd wi zvkmo drsc goouoxn,230,322600.0
CUST092680,Business Loan,968000,2025-02-18,Bj xjwntzxqd sjji yt bj htzqi xyfwy btwpnsl ts ymfy uwtojhy nijf bj otpji fgtzy jfwqnjw,85,1162600.0
CUST085648,Business Loan,86000,2025-03-02,Jfyumy yhmoly nbun nbun nby chpicwy xynucfm uly willywnfs lyzfywnyx ch siol lywilxm,73,104200.0
CUST005607,Credit Card Loan,916000,2024-05-26,Kag etagxp pqruzufqxk vauz iq oagxp otqow agf ftmf zqi yahuq kag yqzfuazqp xmef yazft,353,1100200.0
CUST020223,Loan Against Deposit,890000,2025-02-24,Jr frevbhfyl arrq gb jr pbhyq obbx gvpxrgf sbe gung pbapreg unccravat arkg zbagu,79,1069000.0
CUST091017,Home Loan,101000,2024-05-09,R jv farcrwp cx oxuuxf dy cqjc hxda ejudjkun onnmkjlt rb bqjanm frcq cqn kaxjmna vjwjpnvnwc cnjv,370,147640.0
CUST075591,Top-Up Loan,253000,2025-03-07,Hs gzr addm vzx snn knmf rhmbd vd bntkc rszqs vnqjhmf nm sgzs oqnidbs hcdz vd injdc zants dzqkhdq,68,304600.0
CUST016920,Medical Loan,632000,2024-08-07,Pa dvbsk il nylhasf hwwyljphalk pm aoha fvby jvttluaz hyl pujvywvyhalk puav aol mpuhs clyzpvu vm aol hnylltlua,280,759400.0
CUST098991,Education Loan,394000,2025-02-12,Matgd rhn yhk rhnk tmmxgmbhg matm tee vhfiebtgvx kxjnbkxfxgml atox uxxg lnvvxllyneer fxm,91,473800.0
CUST008930,Auto Loan,112000,2024-06-30,Dau E swo pdejgejc sa ykqhz olajz w hwvu Oqjzwu fqop xejca-swpydejc khz odkso,318,135400.0
CUST017172,Education Loan,485000,2025-03-29,Fvb zovbsk klmpupalsf qvpu dl jvbsk zahya dvyrpun vu aoha wyvqlja pklh dl qvrlk hivba lhysply,46,583000.0
CUST090348,Credit Card Loan,849000,2024-05-11,Rc fxdum kn jfnbxvn ro fn lxdum kxxt crltncb oxa cqjc lxwlnac qjyynwrwp wngc vxwcq,368,1224760.0
CUST073083,Auto Loan,672000,2025-04-14,Sa oanekqohu jaaz pk sa ykqhz xkkg peygapo bkn pdwp ykjyanp dwllajejc jatp ikjpd,30,807400.0
CUST007956,Education Loan,294000,2025-03-31,Mx lew fiir aec xss psrk wmrgi ai gsyph wxevx asvomrk sr xlex tvsnigx mhie ai nsoih efsyx ievpmiv,44,353800.0
CUST005268,Business Loan,518000,2025-01-02,U ruzmxxk saf fuyq fa iq oagxp efmdf iadwuzs az ftmf bdavqof upqm iq vawqp mnagf qmdxuqd,132,622600.0
CUST095917,Loan Against Deposit,905000,2024-10-09,Cqrwtrwp fn bqxdum fn lxdum qjwp xdc kh cqn knjlq knoxan rc pncb lxumna jpjrw,217,1087000.0
CUST024727,Education Loan,577000,2025-01-09,Ocvif tjp ajm tjpm vooziodji ocvo ocz pkyvozy kjgdxt bpdyzgdizn cvqz wzzi ydnomdwpozy oj vgg yzkvmohzion,125,693400.0
CUST029593,Credit Card Loan,760000,2024-09-25,Uc qfmsjb yppylec y kccrgle rfyr uc kyglrygl mncl amkkslgayrgml bspgle rfc gknjckclryrgml ncpgmb,231,913000.0
CUST059227,Loan Against Deposit,670000,2024-07-03,Cyrnfr qb abg urfvgngr gb ernpu bhg gung gur hcqngrq cbyvpl thvqryvarf unir orra qvfgevohgrq gb nyy qrcnegzragf,315,805000.0
CUST052386,Loan Against Deposit,704000,2024-11-28,Ocadg yg ecp rncp uqogvjkpi yg eqwnf ejgem qwv vjcv pgy oqxkg aqw ogpvkqpgf ncuv oqpvj,167,845800.0
CUST069748,Home Loan,926000,2025-01-26,Vlr pelria abcfkfqbiv glfk tb zlria yllh qfzhbqp clo qexq zlkzboq exmmbkfkd kbuq jlkqe,108,1112200.0
CUST027636,Auto Loan,467000,2024-12-27,Mx lew fiir aec xss psrk wmrgi ai gsyph xvc xlex ria tmdde tpegi izivcsri oiitw vigsqqirhmrk,138,561400.0
CUST043195,Personal Loan,146000,2024-12-27,Drsxusxq go cryevn go myevn qbkl nsxxob cywodswo drsc goou kxn mkdmr ez zbyzobvi,138,176200.0
CUST087420,Personal Loan,880000,2024-05-16,Ozxy bfsyji yt xfd bj htzqi xujsi f qfed Xzsifd ozxy gnslj-bfyhmnsl tqi xmtbx,363,1057000.0
CUST023357,Personal Loan,688000,2025-02-05,Pa dvbsk il hdlzvtl pm dl jvbsk joljr vba aoha uld tvcpl fvb tluapvulk shza tvuao,98,826600.0
CUST056101,Travel Loan,800000,2024-05-20,Iq etagxp mddmzsq m yqqfuzs ftmf kagd hmxgmnxq rqqpnmow ue etmdqp iuft ftq ndampqd ymzmsqyqzf fqmy,359,961000.0
CUST019710,Medical Loan,446000,2024-06-21,Xlero csy jsv csyv exxirxmsr xlex epp gsqtpmergi viuymviqirxw lezi fiir wyggiwwjyppc qix,327,536200.0
CUST099127,Travel Loan,35000,2024-12-18,Al ogmdv tw yjwsldq shhjwuaslwv ax lzsl lzw jwnakwv ugfljsul lwjek sjw jwnawowv sfv suuwhlwv,147,43000.0
CUST024736,Home Loan,536000,2024-10-02,Bys C qum nbchecha qy wiofx bimn u mguff ayn-niaynbyl un gs jfuwy nbcm qyyeyhx,224,644200.0
CUST032069,Auto Loan,584000,2024-08-02,Gr umsjb zc yucqmkc gd uc amsjb em dmp y fgic gd rfc ucyrfcp qrywq emmb,285,701800.0
CUST059045,Education Loan,87000,2024-06-15,Ocvif tjp ajm tjpm vooziodji ocvo rz hvdiovdi jkzi xjhhpidxvodji ypmdib ocz dhkgzhziovodji kzmdjy,333,105400.0
CUST031554,Loan Against Deposit,858000,2024-09-10,Vjkpmkpi yg ujqwnf yg eqwnf iq qp c urqpvcpgqwu tqcf vtkr ykvjqwv owej rncppkpi,246,1030600.0
CUST004429,Business Loan,865000,2024-04-27,Gr umsjb zc epcyrjw ynnpcagyrcb gd rfyr rfc pctgqcb amlrpyar rcpkq ypc pctgcucb ylb yaacnrcb,382,1247800.0
CUST076785,Travel Loan,466000,2025-04-06,Rngcug gpuwtg vjcv vjcv aqwt eqoogpvu ctg kpeqtrqtcvgf kpvq vjg hkpcn xgtukqp qh vjg citggogpv,38,560200.0
CUST036019,Personal Loan,151000,2024-10-16,Ck ynuarj gxxgtmk g skkzotm zngz znkxk gxk tu vktjotm ozksy hkluxk znk iruyaxk ul znoy vngyk,210,182200.0
CUST002078,Auto Loan,33000,2025-03-31,Nbuhe sio zil siol unnyhncih nbun nby chpicwy xynucfm uly willywnfs lyzfywnyx ch siol lywilxm,44,40600.0
CUST082951,Medical Loan,16000,2025-01-21,Ai wivmsywpc riih xs ai gsyph wtirh e pedc Wyrhec nywx fmrki-aexglmrk sph wlsaw,113,20200.0
CUST071101,Education Loan,842000,2025-03-28,Sohdvh hqvxuh wkdw wkdw wkhuh duh qr shqglqj lwhpv ehiruh wkh forvxuh ri wklv skdvh,47,1011400.0
CUST023861,Medical Loan,829000,2025-04-14,Xvaqyl yrg zr xabj gung lbhe inyhnoyr srrqonpx vf funerq jvgu gur oebnqre znantrzrag grnz,30,995800.0
CUST021882,Loan Against Deposit,513000,2024-06-15,Kds ld jmnv he vd bntkc rodmc z kzyx Rtmczx itrs ahmfd-vzsbghmf nkc rgnvr,333,616600.0
CUST043973,Travel Loan,932000,2024-10-15,Awpldp pydfcp esle esle jzfc glwflmwp qppomlnv td dslcpo htes esp mczlopc xlylrpxpye eplx,211,1119400.0
CUST070323,Auto Loan,21000,2024-10-31,Gr umsjb zc epcyrjw ynnpcagyrcb gd rfyr wmsp amkkclrq ypc glampnmpyrcb glrm rfc dglyj tcpqgml md rfc yepcckclr,195,26200.0
CUST065018,Credit Card Loan,594000,2024-10-04,Yunjbn nwbdan cqjc cqjc cqnan jan wx ynwmrwp rcnvb knoxan cqn luxbdan xo cqrb yqjbn,222,713800.0
CUST094423,Top-Up Loan,554000,2024-11-25,Xuo Y mqi jxydaydw mu sekbt ijqhj mehaydw ed jxqj fhezusj ytuq mu zeaut qrekj uqhbyuh,170,665800.0
CUST006259,Home Loan,302000,2024-10-03,Dro boaeocdon nymewoxdc rkfo loox zbozkbon kxn drkd dro bofscon myxdbkmd dobwc kbo bofsogon kxn kmmozdon,223,363400.0
CUST091275,Medical Loan,112000,2024-10-02,Xlero csy jsv csyv exxirxmsr xlex epp gsqtpmergi viuymviqirxw lezi fiir wyggiwwjyppc qix,224,135400.0
CUST046609,Medical Loan,169000,2025-03-06,Yg ugtkqwuna pggf vq yg eqwnf jquv c uocnn igv-vqigvjgt cv oa rnceg vjku yggmgpf,69,203800.0
CUST025170,Loan Against Deposit,305000,2025-03-16,M eq avmxmrk xs jsppsa yt xlex epp gsqtpmergi viuymviqirxw lezi fiir wyggiwwjyppc qix,59,367000.0
CUST090622,Personal Loan,936000,2025-03-12,Hp dpctzfdwj yppo ez hp nzfwo rclm otyypc dzxpetxp estd hppv lyo nlens fa aczapcwj,63,1124200.0
CUST069146,Top-Up Loan,443000,2025-03-03,Zsh as ybck wt ks qcizr vobu cih pm hvs psoqv pstcfs wh ushg qczrsf ouowb,72,532600.0
CUST052344,Loan Against Deposit,150000,2024-06-18,Ndj hwdjas stuxcxitan ydxc lt rdjas wpcv dji qn iwt qtprw qtudgt xi vtih rdastg pvpxc,330,181000.0
CUST077022,Medical Loan,516000,2025-04-23,Unc vn twxf ro fn lxdum qjwp xdc kh cqn knjlq knoxan rc pncb lxumna jpjrw,21,620200.0
CUST098287,Loan Against Deposit,834000,2024-05-23,Pa dvbsk il hdlzvtl pm dl jvbsk nv mvy h oprl pm aol dlhaoly zahfz nvvk,356,1001800.0
CUST007209,Education Loan,762000,2024-06-23,F xj tofqfkd ql cliilt rm qexq qeb molgbzq abifsboxyibp xob pryjfqqba yv qeb rmzljfkd abxaifkb,325,915400.0
CUST095635,Personal Loan,957000,2025-01-01,Pa dvbsk il nylhasf hwwyljphalk pm aoha aol zjolkbslk aptlspul mvy aol wyvqlja ylthpuz bujohunlk,133,1149400.0
CUST028706,Business Loan,998000,2024-07-15,Xi wph qttc lpn idd adcv hxcrt lt rdjas hipgi ldgzxcv dc iwpi egdytri xstp lt ydzts pqdji tpgaxtg,303,1198600.0
CUST064856,Top-Up Loan,928000,2024-08-31,Nbzcf xf dbo qmbo tpnfuijoh xf dpvme tqfoe b mbaz Tvoebz kvtu cjohf-xbudijoh pme tipxt,256,1114600.0
CUST089944,Auto Loan,398000,2024-06-13,Xli viuyiwxih hsgyqirxw lezi fiir tvitevih erh xlex xli vizmwih gsrxvegx xivqw evi vizmiaih erh eggitxih,335,478600.0
CUST046847,Loan Against Deposit,931000,2024-10-04,Hs vntkc ad fqdzskx zooqdbhzsdc he sgzs sgd hmunhbd cdszhkr zqd bnqqdbskx qdekdbsdc hm xntq qdbnqcr,222,1118200.0
CUST037380,Education Loan,69000,2024-08-01,Jcr kc ilmu gd uc amsjb rpw rfyr lcu ngxxy njyac ctcpwmlc iccnq pcamkkclbgle,286,83800.0
CUST013120,Loan Against Deposit,352000,2024-09-28,P mpuhssf nva aptl av dl jvbsk zahya dvyrpun vu aoha wyvqlja pklh dl qvrlk hivba lhysply,228,423400.0
CUST015206,Credit Card Loan,365000,2024-07-13,Fn bqxdum jaajwpn j vnncrwp cqjc cqn blqnmdunm crvnurwn oxa cqn yaxsnlc anvjrwb dwlqjwpnm,305,439000.0
CUST071631,Travel Loan,641000,2024-12-14,Nke O cgy znotqotm ck iuarj nuyz g ysgrr mkz-zumkznkx gz se vrgik znoy ckkqktj,151,770200.0
CUST075274,Home Loan,169000,2024-04-23,Esp cpbfpdepo oznfxpyed slgp mppy acpalcpo lyo esle lww nzxawtlynp cpbftcpxpyed slgp mppy dfnnpddqfwwj xpe,386,245560.0
CUST015825,Top-Up Loan,117000,2024-07-04,Ck ynuarj gxxgtmk g skkzotm zngz znk otbuoik jkzgory gxk iuxxkizre xklrkizkj ot euax xkiuxjy,314,141400.0
CUST051615,Top-Up Loan,158000,2024-09-23,Nlqgob ohw ph nqrz wkdw doo frpsoldqfh uhtxluhphqwv kdyh ehhq vxffhvvixoob phw,233,190600.0
CUST023043,Travel Loan,269000,2024-08-07,Kgzvnz zinpmz ocvo ocvo ocz diqjdxz yzovdgn vmz xjmmzxogt mzagzxozy di tjpm mzxjmyn,280,323800.0
CUST006179,Home Loan,955000,2024-10-29,Yj mekbt ru whuqjbo qffhusyqjut yv jxqj jxu fhezusj tubyluhqrbui qhu ikrcyjjut ro jxu kfsecydw tuqtbydu,197,1147000.0
CUST039222,Business Loan,23000,2025-02-16,Oz ngy hkkt cge zuu rutm yotik ck iuarj yzgxz cuxqotm ut zngz vxupkiz ojkg ck puqkj ghuaz kgxrokx,87,28600.0
CUST048240,Medical Loan,193000,2025-02-04,T qtylwwj rze etxp ez hp nzfwo rclm otyypc dzxpetxp estd hppv lyo nlens fa aczapcwj,99,232600.0
CUST026010,Home Loan,369000,2024-12-05,Ck ynuarj gxxgtmk g skkzotm zngz znk yinkjarkj zoskrotk lux znk vxupkiz xksgoty atingtmkj,160,443800.0
CUST052446,Auto Loan,222000,2024-10-14,Go kbo kgksdsxq iyeb myxpsbwkdsyx drkd iyeb mywwoxdc kbo sxmybzybkdon sxdy dro psxkv fobcsyx yp dro kqboowoxd,212,267400.0
CUST012956,Home Loan,81000,2024-05-19,Okdzrd dmrtqd sgzs sgzs xntq bnlldmsr zqd hmbnqonqzsdc hmsn sgd ehmzk udqrhnm ne sgd zfqddldms,360,98200.0
CUST081661,Auto Loan,43000,2025-04-15,Zngtq eua lux euax gzzktzout zngz znk yinkjarkj zoskrotk lux znk vxupkiz xksgoty atingtmkj,29,52600.0
CUST055536,Personal Loan,47000,2024-05-08,Hp dpctzfdwj yppo ez hp nzfwo szde l dxlww rpe-ezrpespc le xj awlnp estd hppvpyo,371,69880.0
CUST082299,Home Loan,552000,2024-12-21,Aopurpun dl zovbsk dl jvbsk nyhi kpuuly zvtlaptl aopz dllr huk jhajo bw wyvwlysf,144,663400.0
CUST043488,Personal Loan,978000,2024-08-30,Xlero csy jsv csyv exxirxmsr xlex xli wglihypih xmqipmri jsv xli tvsnigx viqemrw yrglerkih,257,1174600.0
CUST017100,Business Loan,169000,2024-07-31,Nbuhe sio zil siol unnyhncih nbun nby mwbyxofyx ncgyfchy zil nby jlidywn lyguchm ohwbuhayx,287,203800.0
CUST013324,Loan Against Deposit,980000,2025-03-31,Tjp ncjpgy yzadidozgt ejdi rz xjpgy omt ocvo izr kduuv kgvxz zqzmtjiz fzzkn mzxjhhziydib,44,1177000.0
CUST023335,Credit Card Loan,743000,2025-04-11,Zh duh dzdlwlqj brxu frqilupdwlrq wkdw wkh surmhfw gholyhudeohv duh vxeplwwhg eb wkh xsfrplqj ghdgolqh,33,892600.0
CUST021254,Travel Loan,464000,2024-06-02,Rz vmz vrvdodib tjpm xjiadmhvodji ocvo oczmz vmz ij kziydib dozhn wzajmz ocz xgjnpmz ja ocdn kcvnz,346,557800.0
CUST057414,Medical Loan,937000,2025-01-26,Iq eqduagexk zqqp fa iq oagxp tmzs agf nk ftq nqmot nqradq uf sqfe oaxpqd msmuz,108,1125400.0
CUST025950,Home Loan,767000,2024-11-02,Hfkaiv ibq jb hklt qexq tb jxfkqxfk lmbk zljjrkfzxqflk arofkd qeb fjmibjbkqxqflk mbofla,193,921400.0
CUST072542,Top-Up Loan,173000,2024-09-23,Rfdgj bj hfs uqfs xtrjymnsl bj htzqi hmjhp tzy ymfy sjb rtanj dtz rjsyntsji qfxy rtsym,233,208600.0
CUST035120,Auto Loan,617000,2024-10-21,Ohw ph nqrz li zh frxog jr rq d vsrqwdqhrxv urdg wuls zlwkrxw pxfk sodqqlqj,205,741400.0
CUST042862,Travel Loan,311000,2024-11-01,U ruzmxxk saf fuyq fa iq oagxp sdmn puzzqd eayqfuyq ftue iqqw mzp omfot gb bdabqdxk,194,374200.0
CUST038264,Auto Loan,523000,2024-05-26,B ybgteer zhm mbfx mh px vhnew atgz hnm ur max uxtva uxyhkx bm zxml vhewxk tztbg,353,628600.0
CUST015673,Home Loan,114000,2024-05-15,B ybgteer zhm mbfx mh px vhnew uhhd mbvdxml yhk matm vhgvxkm atiixgbgz gxqm fhgma,364,137800.0
CUST049434,Business Loan,875000,2024-11-29,Iq eqduagexk zqqp fa iq oagxp sa rad m tuwq ur ftq iqmftqd efmke saap,166,1051000.0
