sender,receiver,transaction_amount,transaction_date
CUST000354,CUST056836,86,2024-05-04
CUST000355,CUST073745,17,2024-12-11
CUST000356,CUST056492,29,2024-12-22
CUST000357,CUST018590,57,2024-05-23
CUST000358,CUST043485,34,2024-08-25
CUST000359,CUST082990,90,2025-03-18
CUST000360,CUST036213,86,2024-04-23
CUST000361,CUST043526,4,2024-10-18
CUST000362,CUST047203,39,2025-04-10
CUST000363,CUST032636,74,2024-08-02
CUST000364,CUST063209,98,2024-06-27
CUST000365,CUST033829,20,2025-01-06
CUST000366,CUST018712,21,2025-02-17
CUST000367,CUST003421,28,2025-02-24
CUST000368,CUST096753,99,2024-05-13
CUST000369,CUST000302,3,2025-04-20
CUST000370,CUST045237,72,2024-10-26
CUST000371,CUST066236,90,2024-06-22
CUST000372,CUST054241,58,2024-11-10
CUST000373,CUST065727,67,2024-08-03
CUST000374,CUST010493,92,2024-12-17
CUST000375,CUST006103,52,2025-01-15
CUST000376,CUST050337,11,2025-04-10
CUST000377,CUST085315,60,2024-11-23
CUST000378,CUST026642,8,2025-04-22
CUST000379,CUST034585,57,2024-05-30
CUST000380,CUST032746,6,2025-03-16
CUST000381,CUST023094,97,2025-02-18
CUST000382,CUST066106,94,2024-08-18
CUST000383,CUST051886,29,2025-01-01
CUST000384,CUST036632,50,2024-12-27
CUST000385,CUST072992,57,2024-07-06
CUST000386,CUST004015,84,2025-03-05
CUST000387,CUST011094,53,2024-06-25
CUST000388,CUST018071,49,2024-04-25
CUST000389,CUST035778,39,2024-10-29
CUST000390,CUST056959,93,2024-10-06
CUST000391,CUST082075,96,2025-04-22
CUST000392,CUST010730,62,2024-10-12
CUST000393,CUST099714,44,2025-04-15
CUST000394,CUST045018,67,2025-03-26
CUST000395,CUST066321,16,2024-09-12
CUST000396,CUST027752,11,2024-09-25
CUST000397,CUST078070,71,2024-07-29
CUST000398,CUST054749,31,2024-10-17
CUST000399,CUST005802,24,2025-02-06
CUST000400,CUST019191,54,2025-02-23
CUST000401,CUST049690,19,2024-10-27
CUST000402,CUST050994,49,2024-12-25
CUST000403,CUST029593,31,2024-09-13
CUST000404,CUST010648,1,2024-10-23
CUST000405,CUST008717,13,2025-01-12
CUST000406,CUST088892,91,2024-05-28
CUST000407,CUST087546,52,2025-04-08
CUST000408,CUST089913,61,2024-09-15
CUST000409,CUST070317,97,2025-02-16
CUST000410,CUST002369,6,2024-10-20
CUST000411,CUST077576,97,2024-10-31
CUST000412,CUST006656,50,2025-03-09
CUST000413,CUST070032,97,2024-10-07
CUST000414,CUST076430,88,2024-11-05
CUST000415,CUST091084,76,2024-06-13
CUST000416,CUST087923,10,2024-12-14
CUST000417,CUST055767,60,2024-11-13
CUST000418,CUST013404,61,2024-06-28
CUST000419,CUST032098,87,2025-03-22
CUST000420,CUST078658,1,2024-08-30
CUST000421,CUST010967,19,2024-06-13
CUST000422,CUST099158,24,2025-04-08
CUST000423,CUST093849,24,2024-06-26
CUST000424,CUST052922,21,2024-07-08
CUST000425,CUST049727,7,2024-07-10
CUST000426,CUST050301,33,2025-03-18
CUST000427,CUST022678,97,2024-05-11
CUST000428,CUST055610,16,2024-12-27
CUST000429,CUST096826,26,2024-08-16
CUST000430,CUST056662,29,2025-03-09
CUST000431,CUST031025,78,2024-05-02
CUST000432,CUST070314,44,2024-12-03
CUST000433,CUST053007,93,2025-02-11
CUST000434,CUST095286,41,2025-02-04
CUST000435,CUST015339,73,2024-10-13
CUST000436,CUST068028,88,2024-05-14
CUST000437,CUST092773,78,2024-09-09
CUST000438,CUST080136,6,2024-10-14
CUST000439,CUST019509,99,2024-09-03
CUST000440,CUST003052,34,2024-10-10
CUST000441,CUST048748,86,2025-03-05
CUST000442,CUST087143,1,2024-09-10
CUST000443,CUST087236,65,2025-01-05
CUST000444,CUST054022,35,2024-10-21
CUST000445,CUST066413,26,2024-08-08
CUST000446,CUST058336,66,2024-10-29
CUST000447,CUST056180,97,2025-04-01
CUST000448,CUST032094,81,2025-01-15
CUST000449,CUST069679,58,2024-09-04
CUST000450,CUST080739,21,2024-10-09
CUST000451,CUST039735,36,2024-09-21
CUST000452,CUST072616,3,2025-01-02
CUST000453,CUST073524,26,2024-08-01
CUST000454,CUST094477,34,2024-11-05
CUST000455,CUST017020,92,2024-12-10
CUST000456,CUST083614,41,2025-02-11
CUST000457,CUST091795,74,2024-06-27
CUST000458,CUST086673,94,2024-07-12
CUST000459,CUST073848,96,2024-04-27
CUST000460,CUST082751,68,2024-10-09
CUST000461,CUST079635,53,2024-06-05
CUST000462,CUST028252,56,2024-07-16
CUST000463,CUST025946,8,2024-07-06
CUST000464,CUST090853,16,2024-05-03
CUST000465,CUST032218,99,2025-04-05
CUST000466,CUST008309,21,2024-10-14
CUST000467,CUST005950,34,2024-11-12
CUST000468,CUST051991,72,2024-11-15
CUST000469,CUST001151,19,2024-10-04
CUST000470,CUST089481,65,2024-10-12
CUST000471,CUST074741,67,2024-12-26
CUST000472,CUST066618,44,2025-02-18
CUST000473,CUST094842,73,2024-10-09
CUST000474,CUST016897,21,2024-07-21
CUST000475,CUST046176,33,2024-11-15
CUST000476,CUST007806,65,2025-04-10
CUST000477,CUST005238,3,2025-03-10
CUST000478,CUST020057,44,2024-06-12
CUST000479,CUST045544,58,2024-06-30
CUST000480,CUST056557,51,2024-08-27
CUST000481,CUST003344,98,2024-10-08
CUST000482,CUST013501,65,2024-09-19
CUST000483,CUST053223,71,2024-11-25
CUST000484,CUST029376,73,2025-04-09
CUST000485,CUST009663,96,2025-02-12
CUST000486,CUST016965,39,2025-02-13
CUST000487,CUST059639,31,2024-06-24
CUST000488,CUST073667,59,2024-05-16
CUST000489,CUST085068,49,2024-04-23
CUST000490,CUST067216,51,2024-08-02
CUST000491,CUST069043,92,2025-03-31
CUST000492,CUST013285,99,2024-10-09
CUST000493,CUST072790,86,2024-12-18
CUST000494,CUST084665,66,2025-02-28
CUST000495,CUST093469,5,2024-06-14
CUST000496,CUST061390,100,2024-08-07
CUST000497,CUST009436,67,2024-12-25
CUST000498,CUST054341,78,2024-12-10
CUST000499,CUST044079,87,2025-03-08
CUST000500,CUST078833,68,2024-05-15
CUST000501,CUST051294,93,2024-12-02
CUST000502,CUST095982,82,2024-09-16
CUST000503,CUST078782,46,2024-06-18
CUST000504,CUST060404,32,2025-01-13
CUST000505,CUST029125,41,2024-04-26
CUST000506,CUST095436,37,2024-11-09
CUST000507,CUST043920,74,2025-02-13
CUST000508,CUST035248,76,2025-02-12
CUST000509,CUST094759,67,2025-02-25
CUST000510,CUST091748,72,2024-11-21
CUST000511,CUST062753,17,2024-04-30
CUST000512,CUST056574,93,2024-07-14
CUST000513,CUST059102,91,2024-07-25
CUST000514,CUST026647,67,2024-08-27
CUST000515,CUST023050,5,2024-05-29
CUST000516,CUST079606,20,2024-05-22
CUST000517,CUST098117,18,2024-11-05
CUST000518,CUST097380,21,2024-12-28
CUST000519,CUST068386,79,2024-05-21
CUST000520,CUST040159,37,2025-03-11
CUST000521,CUST065418,47,2024-06-19
CUST000522,CUST023290,39,2025-03-21
CUST000523,CUST009824,57,2024-06-15
CUST000524,CUST060161,17,2024-10-25
CUST000525,CUST041976,6,2025-03-23
CUST000526,CUST009541,40,2024-05-14
CUST000527,CUST016365,32,2024-07-03
CUST000528,CUST004612,66,2025-02-10
CUST000529,CUST027664,2,2024-08-06
CUST000530,CUST051992,95,2025-03-18
CUST000531,CUST057680,25,2025-01-23
CUST000532,CUST030978,13,2024-07-26
CUST000533,CUST094705,71,2025-04-10
CUST000534,CUST049116,90,2024-08-19
CUST000535,CUST091008,32,2025-03-14
CUST000536,CUST088224,41,2025-02-26
CUST000537,CUST060891,34,2025-03-20
CUST000538,CUST066388,6,2024-10-20
CUST000539,CUST018072,47,2024-09-09
CUST000540,CUST059276,20,2024-07-01
CUST000541,CUST072370,6,2024-08-12
CUST000542,CUST011939,76,2024-12-28
CUST000543,CUST035196,100,2024-09-13
CUST000544,CUST091681,9,2024-12-06
CUST000545,CUST004001,24,2024-11-09
CUST000546,CUST070589,64,2025-03-11
CUST000547,CUST093611,97,2024-08-05
CUST000548,CUST097857,8,2024-11-26
CUST000549,CUST038305,69,2025-01-29
CUST000550,CUST069450,87,2024-06-17
CUST000551,CUST082987,41,2025-02-18
CUST000552,CUST089644,39,2024-05-08
CUST000553,CUST020765,92,2024-07-25
CUST000554,CUST086028,16,2025-03-21
CUST000555,CUST038495,62,2024-12-20
CUST000556,CUST003374,71,2024-08-31
CUST000557,CUST012162,7,2024-09-26
CUST000558,CUST097533,60,2024-07-15
CUST000559,CUST092659,37,2025-04-21
CUST000560,CUST027351,90,2024-10-27
CUST000561,CUST093009,82,2024-05-10
CUST000562,CUST094298,72,2025-01-12
CUST000563,CUST025352,63,2024-08-19
CUST000564,CUST088669,14,2024-07-10
CUST000565,CUST015306,34,2025-01-16
CUST000566,CUST075354,64,2024-10-25
CUST000567,CUST076798,1,2024-09-16
CUST000568,CUST065954,92,2024-06-06
CUST000569,CUST057459,42,2025-01-17
CUST000570,CUST020359,7,2025-03-18
CUST000571,CUST003268,77,2024-06-30
CUST000572,CUST082746,91,2025-02-17
CUST000573,CUST089589,36,2025-03-29
CUST000574,CUST038514,98,2024-07-04
CUST000575,CUST026093,79,2024-05-18
CUST000576,CUST011339,5,2024-08-13
CUST000577,CUST000413,46,2024-08-26
CUST000578,CUST007544,22,2024-06-05
CUST000579,CUST033497,87,2025-01-28
CUST000580,CUST060693,64,2024-08-23
CUST000581,CUST089085,73,2025-03-19
CUST000582,CUST092921,97,2024-12-04
CUST000583,CUST044426,60,2024-09-18
CUST000584,CUST038757,22,2024-07-22
CUST000585,CUST018889,4,2025-02-27
CUST000586,CUST035736,49,2024-06-26
CUST000587,CUST047296,38,2025-01-03
CUST000588,CUST083043,85,2024-07-01
CUST000589,CUST086000,56,2024-12-20
CUST000590,CUST017956,40,2024-06-21
CUST000591,CUST037842,94,2024-06-03
CUST000592,CUST070641,27,2025-01-15
CUST000593,CUST065511,31,2024-11-09
CUST000594,CUST034912,8,2024-08-27
CUST000595,CUST059032,33,2024-09-05
CUST000596,CUST088727,29,2024-05-19
CUST000597,CUST007358,72,2024-09-15
CUST000598,CUST032480,77,2024-10-10
CUST000599,CUST061477,33,2024-05-14
CUST000600,CUST044812,6,2024-04-30
CUST000601,CUST036209,52,2024-09-27
CUST000602,CUST020151,67,2025-03-20
CUST000603,CUST071181,7,2025-02-08
CUST000604,CUST043287,80,2024-08-01
CUST000605,CUST068451,13,2025-03-31
CUST000606,CUST021353,34,2024-05-27
CUST000607,CUST055070,98,2024-08-03
CUST000608,CUST014398,68,2024-07-28
CUST000609,CUST041556,74,2024-08-29
CUST000610,CUST046960,72,2024-11-13
CUST000611,CUST000729,6,2025-02-03
CUST000612,CUST050518,83,2024-07-05
CUST000613,CUST066235,26,2024-12-14
CUST000614,CUST039955,30,2024-10-05
CUST000615,CUST047281,7,2024-12-01
CUST000616,CUST079460,61,2025-02-19
CUST000617,CUST016780,21,2024-05-05
CUST000618,CUST063933,28,2025-02-14
CUST000619,CUST072937,2,2024-09-05
CUST000620,CUST024467,84,2025-04-22
CUST000621,CUST036940,2,2024-12-30
CUST000622,CUST069897,48,2024-06-23
CUST000623,CUST035271,98,2025-02-20
CUST000624,CUST059164,37,2024-12-10
CUST000625,CUST082638,36,2024-10-10
CUST000626,CUST051935,2,2025-03-07
CUST000627,CUST064896,71,2025-03-05
CUST000628,CUST032308,85,2024-04-25
CUST000629,CUST054099,33,2025-04-19
CUST000630,CUST060922,82,2024-07-10
CUST000631,CUST005487,87,2024-11-29
CUST000632,CUST008336,41,2024-07-30
CUST000633,CUST086901,94,2024-08-30
CUST000634,CUST089113,49,2025-01-22
CUST000635,CUST097204,69,2024-05-25
CUST000636,CUST011131,82,2025-03-12
CUST000637,CUST087509,3,2024-10-21
CUST000638,CUST060567,5,2025-02-24
CUST000639,CUST066704,27,2025-02-18
CUST000640,CUST027193,51,2024-11-22
CUST000641,CUST001063,94,2024-06-07
CUST000642,CUST084077,71,2024-08-30
CUST000643,CUST089781,7,2024-07-02
CUST000644,CUST021546,27,2024-04-29
CUST000645,CUST021690,80,2024-08-06
CUST000646,CUST011175,7,2024-06-21
CUST000647,CUST088462,87,2024-06-28
CUST000648,CUST009349,10,2025-03-25
CUST000649,CUST023715,14,2025-02-19
CUST000650,CUST038103,22,2024-07-18
CUST000651,CUST074461,82,2024-10-16
CUST000652,CUST089931,97,2024-08-30
CUST000653,CUST006802,39,2024-11-05
CUST000654,CUST072268,85,2024-07-29
CUST000655,CUST048137,100,2024-09-29
CUST000656,CUST023626,24,2024-06-18
CUST000657,CUST082874,29,2024-12-27
CUST000658,CUST072593,64,2024-11-21
CUST000659,CUST077053,47,2024-05-02
CUST000660,CUST044262,84,2024-10-26
CUST000661,CUST001543,82,2025-03-21
CUST000662,CUST021678,21,2024-08-21
CUST000663,CUST046733,71,2025-03-17
CUST000664,CUST050344,75,2024-09-19
